#501,O,water,,,,,,,,,,,,,,
#502,OC,methanol,,,,,,,,,,,,,,
#503,O=C(O)C,acetic acid,,,,,,,,,,,,,,
#504,O=C(OC(=O)C)C,acetic anhydride,,,,,,,,,,,,,,
#505,O=C(OC)C,methyl acetate,,,,,,,,,,,,,,
#506,O(C)C,dimethyl ether,,,,,,,,,,,,,,
#507,HH,hydrogen,,,,,,,,,,,,,,
#508,O=O,oxygen,,,,,,,,,,,,,,
#509,N#N,nitrogen,,,,,,,,,,,,,,
#510,OC(C)C,isopropanol,,,,,,,,,,,,,,
#511,O=C(C)C,acetone,,,,,,,,,,,,,,
#201,S(=O)(=O)(O)O,S(=O)(=O)(O)O,,,,,,,,,,,,,,
#202,CC=C,CC=C,,,,,,,,,,,,,,
#203,O=C(OCC)C,O=C(OCC)C,,,,,,,,,,,,,,
#204,OCC,OCC,,,,,,,,,,,,,,
#205,C(C)C,C(C)C,,,,,,,,,,,,,,
#206,O(CC)CC,O(CC)CC,,,,,,,,,,,,,,
