#201,O=C(O)R
#202,OR
#203,O=C(OR)R
#204,O(R)R
#205,C(=C)R
#206,C(C)R
#207,O=C(OR)C
#208,O[Me]
#209,X
#210,[Me]X
#211,O[Me]O
#212,[Me](X)X
#213,O=C(OC(=O)R)R
#214,S(=O)(=O)(O)O[Me]
#215,O=C(O[Me])R
#216,OC(R)R
#217,O=C(OC(R)R)R
